nct_id,drug_name,is_combination,n_drugs_in_trial
NCT04933903,Ipilimumab,True,3
NCT04933903,Nivolumab,True,3
NCT04933903,Stereotactic Body Radiation Therapy,True,3
NCT04982900,Furmonertinib,True,2
NCT04982900,Placebo Control,True,2
NCT04278651,Ferumoxytol,True,2
NCT04278651,Ferrous sulfate,True,2
NCT04985851,Durvalumab,True,2
NCT04985851,Catequentinib,True,2
NCT04003896,Abemaciclib,False,1
NCT05017012,Subcutaneous Pembrolizumab,True,8
NCT05017012,Pembrolizumab,True,8
NCT05017012,Pemetrexed,True,8
NCT05017012,Carboplatin,True,8
NCT05017012,Paclitaxel,True,8
NCT05017012,Nab-paclitaxel,True,8
NCT05017012,Axitinib,True,8
NCT05017012,Cisplatin,True,8
NCT05039931,GNC 035,False,1
NCT05002270,Glecirasib,True,2
NCT05002270,Cetuximab,True,2
NCT05103891,Binimetinib,False,1
NCT05078138,Epoetin alfa,False,1
NCT04826107,DP 303c,True,2
NCT04826107,PD-1/PD-L1 inhibitor,True,2
NCT04955886,Surufatinib,True,2
NCT04955886,Toripalimab,True,2
NCT04807166,Catequentinib,True,3
NCT04807166,Paclitaxel,True,3
NCT04807166,Carboplatin,True,3
NCT04877613,Fludarabine,True,3
NCT04877613,Cyclophosphamide,True,3
NCT04877613,Autologous Anti-GFRa4 CAR-TCR-zeta-4-1BB-expressing T-cells,True,3
NCT05075122,Pembrolizumab,True,3
NCT05075122,UV1 Telomerase Peptide Vaccine,True,3
NCT05075122,Sargramostim,True,3
NCT04517227,Durvalumab,True,3
NCT04517227,Transarterial Chemoembolization,True,3
NCT04517227,Ablation Therapy,True,3
NCT04924101,Pembrolizumab,True,7
NCT04924101,MK-4830,True,7
NCT04924101,Boserolimab,True,7
NCT04924101,Lenvatinib,True,7
NCT04924101,Etoposide,True,7
NCT04924101,Cisplatin,True,7
NCT04924101,Carboplatin,True,7
NCT04898634,Pasritamig,False,1
NCT04906395,leuprolide acetate,True,5
NCT04906395,Tamoxifen,True,5
NCT04906395,Letrozole,True,5
NCT04906395,Anastrozole,True,5
NCT04906395,Exemestane,True,5
NCT04937972,Retlirafusp alfa,True,2
NCT04937972,Fuzuloparib,True,2
NCT04946890,MRX-2843,False,1
NCT04961788,Toripalimab,True,3
NCT04961788,Oxaliplatin,True,3
NCT04961788,Gemcitabine,True,3
NCT04846920,Belzutifan,False,1
NCT04808570,TQ-B3525,False,1
NCT04717531,Pyrotinib,True,6
